,y,x
5440,ham,Thank you. do you generally date the brothas?
23,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
5425,ham,Otherwise had part time job na-tuition..
1398,ham,No did you check? I got his detailed message now
2161,ham,Is she replying. Has boye changed his phone number
5443,spam,You have won a guaranteed 32000 award or maybe even å£1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???
5269,spam,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy "
4833,ham,I hope your pee burns tonite.
2766,spam,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX
3795,ham,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.
782,ham,Beerage?
823,spam,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
3772,ham,I came hostel. I m going to sleep. Plz call me up before class. Hrishi.
457,ham,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl
4016,ham,Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.
1227,ham,So Ì_'ll be submitting da project tmr rite?
3026,ham,You still at the game?
5480,ham,Have you seen who's back at Holby?!
471,ham,"How long has it been since you screamed, princess?"
1272,ham,Ok...
3480,ham,Wherre's my boytoy ? :-(
4370,ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
5034,ham,How many times i told in the stage all use to laugh. You not listen aha.
3196,ham,So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.
3222,ham,Well that must be a pain to catch
458,ham,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya"
1663,ham,S but mostly not like that.
889,ham,Wife.how she knew the time of murder exactly
2657,ham,Dai  &lt;#&gt;  naal eruku.
295,spam,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
8,spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
2588,ham,My superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:)
464,ham,Ok i am on the way to railway
1757,ham,"Miss ya, need ya, want ya, love ya."
3805,spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only
3182,ham,Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one Ì_ cut ur hair. 
4815,ham,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...
2356,ham,No..he joined today itself.
4803,ham,"Er, hello, things didnÛ÷t quite go to plan ÛÒ is limping slowly home followed by aa and with exhaust hanging off"
973,ham,what is your account number?
2784,ham,"K, wat s tht incident?"
1340,ham,Might ax well im there.
2323,ham,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.
1454,ham,Can Ì_ all decide faster cos my sis going home liao..
4776,ham,Sorry completely forgot * will pop em round this week if your still here?
4863,ham,Sorry da..today i wont come to play..i have driving clas..
5502,ham,Apo all other are mokka players only
4072,ham,Was the actual exam harder than NBME
934,spam,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or å£1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH."
3498,ham,I hope you arnt pissed off but id would really like to see you tomorrow. Love me xxxxxxxxxxxxxX
3973,ham,Roger that. WeÛ÷re probably going to rem in about 20
4438,ham,i want to grasp your pretty booty :)
4792,ham,Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.
1793,ham,You bad girl. I can still remember them
4585,spam,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. å£1.50 increments. Help08718728876"
636,ham,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola"
5176,ham,Company is very good.environment is terrific and food is really nice:)
4997,ham,Can you talk with me..
1613,ham,Thnx dude. u guys out 2nite?
71,ham,Finished class where are you.
4001,ham,Did you get any gift? This year i didnt get anything. So bad
809,ham,Ugh I don't wanna get out of bed. It's so warm.
673,ham,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace."
1172,ham,Happy new years melody!
433,ham,Booked ticket for pongal?
33,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa
2402,ham,Oh oh... Wasted... Den muz chiong on sat n sun liao...
3337,ham,"K, if u bored up just come to my home.."
2307,spam,WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
1695,ham,Finish already... Yar they keep saying i mushy... I so embarrassed ok...
3587,ham,If you were/are free i can give. Otherwise nalla adi entey nattil kittum
1634,spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p"
5407,ham,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if Ì_ leaving earlier or wat mah cos mayb Ì_ haf to walk v far...
2723,ham,"Tunde, how are you doing. This is just wishing you a great day. Abiola."
2651,ham,"Text me when you get off, don't call, my phones having problems"
1303,ham,I cant pick the phone right now. Pls send a message
4650,spam,A å£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a å£400 reward. Just call 09066380611 
3630,ham,Thank you princess! You are so sexy...
4342,ham,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?
68,spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!"""
3762,ham,K.i will send in  &lt;#&gt;  min:)
2429,spam,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1
3848,ham,U in town alone?
2851,ham,how tall are you princess?
2539,ham,Hmmm:)how many players selected?
2090,ham,S:-)kallis wont play in first two odi:-)
5093,ham,Gokila is talking with you aha:)
1943,ham,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(
2362,ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
2929,ham,Wat's my dear doing? Sleeping ah?
2084,ham,How are you. Wish you a great semester
1190,ham,We're done...
3784,ham,Let me know if you need anything else. Salad or desert or something... How many beers shall i get?
3678,ham,Stupid.its not possible
3407,spam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705
1863,ham,I'll let you know when it kicks in
824,ham,Have a good evening! Ttyl
744,ham,Men like shorter ladies. Gaze up into his eyes.
4795,spam,URGENT This is our 2nd attempt to contact U. Your å£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893
4042,ham,I am literally in bed and have been up for like  &lt;#&gt;  hours
5362,ham,I'm in inside office..still filling forms.don know when they leave me.
1748,ham,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:)
1791,ham,U havenåÕt lost me ill always b here 4u.i didnåÕt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thatåÕs what itried2tell urmom.i careabout u
2809,ham,Mm so you asked me not to call radio
549,ham,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.
1300,ham,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
5496,ham,Yes... I trust u to buy new stuff ASAP so I can try it out
2275,ham,Is that on the telly? No its Brdget Jones!
1878,ham,I AM AT A PARTY WITH ALEX NICHOLS
5207,ham,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !"
2487,ham,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.
2176,ham,get ready to moan and scream :)
1831,ham,Hello- thanx for taking that call. I got a job! Starts on monday!
3802,ham,Yup song bro. No creative. Neva test quality. He said check review online.
4878,ham,Yeah just open chat and click friend lists. Then make the list. Easy as pie
3119,ham,Good evening! this is roger. How are you?
3055,ham,Webpage s not available!
2419,spam,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE
2667,ham,Why de. You looking good only:-)..
513,ham,No..jst change tat only..
1766,spam,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
77,ham,I like you peoples very much:) but am very shy pa.
1975,ham,Delhi and chennai still silent.
3268,ham,Raviyog Peripherals bhayandar east
1561,ham,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.
175,ham,Let me know when you've got the money so carlos can make the call
1941,spam,"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
3370,ham,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow
3419,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066368470"
4341,ham,Ha! I wouldn't say that I just didn't read anything into way u seemed. I don't like 2 be judgemental....i save that for fridays in the pub!
1947,ham,The battery is for mr adewale my uncle. Aka Egbon
1318,ham,Ok...
866,ham,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter"
1077,ham,"Yep, by the pretty sculpture"
2403,ham,Jesus christ bitch I'm trying to give you drugs answer your fucking phone
5504,ham,Wait . I will msg after  &lt;#&gt;  min.
1933,ham,R u over scratching it?
3854,spam,Free msg: Single? Find a partner in your area! 1000s of real people are waiting to chat now!Send CHAT to 62220Cncl send STOPCS 08717890890å£1.50 per msg
2302,ham,We can make a baby in yo tho
797,ham,"\Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic\"""""
5192,ham,Oh oh... Den muz change plan liao... Go back have to yan jiu again...
1309,ham,"Ok, be careful ! Don't text and drive !"
2142,ham,You see the requirements please
578,spam,"our mobile number has won å£5000, to claim calls us back or ring the claims hot line on 09050005321."
5173,ham,U 2.
3928,ham,Yes. Nigh you cant aha.
976,ham,Ok i shall talk to him
907,ham,I.ll give her once i have it. Plus she said grinule greet you whenever we speak
5175,ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
2603,ham,"\Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?\"""""
3538,ham,What happen dear. Why you silent. I am tensed
181,ham,Lol no. U can trust me.
3673,spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
2941,ham,"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3. "
1669,ham,Very hurting n meaningful lines ever: \I compromised everything for my love
6,ham,Even my brother is not like to speak with me. They treat me like aids patent.
2511,ham,Er yep sure. Props?
1526,ham,"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you"
4428,ham,Hey they r not watching movie tonight so i'll prob b home early...
5344,ham,When you guys planning on coming over?
5453,ham,Except theres a chick with huge boobs.
2491,ham,"Greetings me, ! Consider yourself excused."
4249,ham,How much for an eighth?
587,ham,"\Pete can you please ring meive hardly gotany credit\"""""
1054,ham,HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.
3220,spam,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180"
733,ham,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply
3142,ham,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-)
832,spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062"
3858,spam,"Win the newest åÒHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
4192,ham,Ok i'm coming home now.
1628,ham,Yes princess! I want to make you happy...
1998,ham,"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love"
2118,spam,"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription"
107,ham,How would my ip address test that considering my computer isn't a minecraft server
1277,ham,Dont put your phone on silent mode ok
3140,ham,Customer place i will call you
751,spam,You have an important customer service announcement from PREMIER.
921,ham,On ma way to school. Can you pls send me ashley's number
2400,ham,Hi! This is Roger from CL. How are you?
3724,ham,Nothing spl..wat abt u and whr ru?
1413,spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs
4022,ham,Well. Balls. Time to make calls
4121,ham,Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later
4473,spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min
263,spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
2496,ham,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com
1732,ham,"K, can that happen tonight?"
916,ham,Was actually about to send you a reminder today. Have a wonderful weekend
1336,ham,"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that"
144,ham,Yes see ya not on the dot
3287,spam,"Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p "
1654,ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""
4273,ham,Ball is moving a lot.will spin in last :)so very difficult to bat:)
220,ham,Ok no prob. Take ur time.
3041,ham,Slaaaaave ! Where are you ? Must I summon you to me all the time now ? Don't you wish to come to me on your own anymore?
4149,ham,I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?
1440,ham,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: \GOODMORNING &amp; HAVE A NICE DAY\"" :)"""
5286,ham,I'm still pretty weak today .. Bad day ?
2555,spam,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)"
61,ham,Ha ha ha good joke. Girls are situation seekers.
1891,ham,Probably earlier than that if the station's where I think it is
393,ham,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down
4652,ham,Lol yes. But it will add some spice to your day.
5057,ham,"Geeeee ... Your internet is really bad today, eh ?"
4880,ham,When/where do I pick you up
185,ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
311,spam,"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
3721,ham,I'm in a movie... Collect car oredi...
1912,ham,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.
2229,ham,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons
2158,ham,I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.
1357,ham,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy"
2551,ham,I'm done. C Ì_ there.
3218,ham,Me too baby! I promise to treat you well! I bet you will take good care of me...
3426,ham,Haha okay... Today weekend leh... 
3730,ham,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING"
4065,ham,Fyi I'm gonna call you sporadically starting at like  &lt;#&gt;  bc we are not not doin this shit
4773,ham,U repeat e instructions again. Wat's e road name of ur house?
535,ham,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea"
3697,ham,S:)but he had some luck.2 catches put down:)
3360,ham,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged
3512,ham,Staff of placement training in Amrita college.
4487,ham,Call me when you get the chance plz &lt;3
3424,ham,True. Its easier with her here.
3060,ham,What u talking bout early morning? It's almost noon where your at!
2393,ham,"Okey doke. I'm at home, but not dressed cos laying around ill! Speak to you later bout times and stuff. "
2133,ham,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part."
1767,ham,"K, want us to come by now?"
919,ham,Dont talk to him ever ok its my word.
1192,ham,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.
2671,ham,"That's cool, I'll come by like  &lt;#&gt; ish"
3829,ham,I agree. So i can stop thinkin about ipad. Can you please ask macho the same question.
1581,ham,Hhahhaahahah rofl wtf nig was leonardo in your room or something
436,ham,"Ask g or iouri, I've told the story like ten times already"
1274,ham,Let me know how to contact you. I've you settled in a room. Lets know you are ok.
3393,ham,Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.
2241,ham,U buy newspapers already?
4570,ham,\CHA QUITEAMUZING THATåÕSCOOL BABE
3942,ham,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon
4430,ham,2mro i am not coming to gym machan. Goodnight.
2569,ham,Ultimately tor motive tui achieve korli.
5358,ham,Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow
4929,spam,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service"
3150,ham,Yeah but which is worse for i
2089,ham,"No i'm not. I can't give you everything you want and need. You actually could do better for yourself on yor own--you've got more money than i do. I can't get work, i can't get a man, i can't pay the rent, i can't even fill my fucking gas tank. yes, i'm stressed and depressed. I didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing."
2535,ham,"Can you pls pls send me a mail on all you know about relatives coming to deliver here? All you know about costs, risks, benefits and anything else. Thanks."
1659,ham,"Yeah, where's your class at?"
2909,ham,How do you guys go to see movies on your side.
3181,ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
1938,ham,Excellent! Are you ready to moan and scream in ecstasy?
2842,ham,"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola."
1797,ham,Can i get your opinion on something first?
313,ham,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
2117,ham,Wish u many many returns of the day.. Happy birthday vikky..
1993,ham,Eh den sat u book e kb liao huh...
4477,ham,I anything lor.
4551,ham,"\SYMPTOMS\"" when U are in love: \""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your"""
761,ham,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat."
773,ham,I wil be there with in  &lt;#&gt;  minutes. Got any space
5123,ham,"Hi Chikku, send some nice msgs"
3194,ham,Great. P diddy is my neighbor and comes for toothpaste every morning
2283,ham,I reach home safe n sound liao...
4729,ham,I dont know ask to my brother. Nothing problem some thing that. Just i told .
4949,ham,Hi its me you are probably having too much fun to get this message but i thought id txt u cos im bored! and james has been farting at me all night
2542,ham,Aiyo please Ì_ got time meh.
2974,ham,"Don't worry, * is easy once have ingredients!"
2954,ham,Id have to check but there's only like 1 bowls worth left
1267,ham,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.
861,ham,Your brother is a genius
5187,ham,WHAT TIME U WRKIN?
1833,ham,When should I come over?
2306,ham,"Aight that'll work, thanks"
944,ham,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones"
221,ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
1990,ham,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX
1116,ham,Hey... What time is your driving on fri? We go for evaluation on fri?
901,ham,How is it possible to teach you. And where.
3366,ham,Hey what are you doing. Y no reply pa..
1582,ham,"Yep, at derek's house now, see you Sunday &lt;3"
1492,ham,In the end she might still vomit but its okay. Not everything will come out.
5052,ham,Lmao you know me so well...
2921,ham,I've not sent it. He can send me.
4768,ham,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..
4398,ham,Yes just finished watching days of our lives. I love it.
559,ham,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. "
3126,ham,Thats cool. i liked your photos. You are very sexy!
1024,ham,Hasn't that been the pattern recently crap weekends?
3445,ham,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer... "
4266,ham,SORRY IM STIL FUCKED AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630
4665,ham,Not..tel software name..
4889,ham,Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?
4513,ham,"Sure, whenever you show the fuck up &gt;:("
4167,spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
1625,ham,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
1085,ham,"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)"
1144,ham,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(
2338,ham,"Alright, see you in a bit"
1788,ham,Arun can u transfr me d amt
4222,ham,Stupid auto correct on my phone
1972,ham,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march Û_ ish!
806,ham,"sure, but make sure he knows we ain't smokin yet"
1003,ham,&lt;#&gt;  am I think? Should say on syllabus
3704,ham,Ok. Very good. Its all about making that money.
3751,ham,Why are u up so early?
3847,ham,Can you plz tell me the ans. BSLVYL sent via fullonsms.com
2946,ham,Leave it. U will always be ignorant.
