id,type,question,answer,answer_value,statements,coefs,coef_2
1855,factoid,How fast is the world spinning?,"1,?0[34][0-9]\s*(miles per hour|mph)|1,?6[67][0-9]\s*(kilometers per hour|km.*h)","1,661 kilometers per hour","fast is the world spinning   1,661 kilometers per hour ",0,0
1576,factoid,What galaxy is closest to the milky way?,Andromeda,Andromeda,Andromeda  galaxy is closest to the milky way,0,0
1781,factoid,"What year did ""Snow White"" come out?",1937,1937,1937  year did `` Snow White '' come out,0,0
1488,factoid,"What is the name of the professional baseball team in Myrtle Beach, South Carolina?",Pelicans,Pelicans,Pelicans is South Carolina,0,2
2289,factoid,What continent is Togo on?,African?,Africa,Africa  continent is Togo on,0,0
1956,factoid,What country is the largest in square miles?,Russia,Russia,Russia  country is the largest in square miles,0,0
10010,factoid,What currency is used in Christiania?,L[oø]n,Lon,Lon  currency is used in Christiania,0,0
1787,factoid,What is David Lee Roth's birthday?,Oct(.|ober)?\s* 10|1954,1954,1954 is David Lee Roth 's birthday,0,0
10004,factoid,How many colors do you need to color a planar graph?,four|\b4\b,four,colors do you need to color a planar graph   four many,0,16
2153,factoid,What date did the Lusitania sink?,1915|May,May,May  date did the Lusitania sink,0,6
2318,factoid,What instrument measures radioactivity?,Geiger|dosimeter|End\-window G\-M detectors,End-window G-M detectors,End-window G-M detectors  instrument measures radioactivity,0,0
2143,factoid,How did John Dillinger die?,gunned down|shot,gunned down,John Dillinger die   gunned down ,0,0
10092,factoid,where is Løn used?,Christiania,Christiania,Løn used is in Christiania ,0,0
2025,factoid,"What sports stadium has been billed as ""the eighth wonder of the world""?",Astrodome,Astrodome,Astrodome  sports stadium has been billed as `` the eighth wonder of the world '',0,0
2219,factoid,How tall is Al Pacino?,"5\s*(f(oo|ee)?t|').*6\s*(in(ch)?(es)?|"")|1.7.*cm|1\.7",5 s  f oo ee  t     6 s  in ch   es      1 7  cm 1  7,Al Pacino is  5 s  f oo ee  t     6 s  in ch   es      1 7  cm 1  7 tall,0,0
1863,factoid,"Who said ""I have not begun to fight!""?",John Paul Jones,John Paul Jones,John Paul Jones  ``,0,0
2283,factoid,What is the traditional dish served at Wimbledon?,strawberr.*cream,strawberr  cream,strawberr  cream is the traditional dish served at Wimbledon,0,0
1791,factoid,When did they put Mir down?,1999|2001,2001,they put Mir down  in 2001 ,0,0
10063,factoid,how many months are in a year?,\b12\b|twelve,twelve,months are in a year   twelve many,0,0
1426,factoid,Who is the governor of Tennessee in 2002?,Sundquist,Sundquist,Sundquist is the governor of Tennessee in 2002,0,0
2325,factoid,When was the first Superbowl?,1967,1967,the first Superbowl  in 1967 ,0,0
1704,factoid,What is the normal pulse rate?,70 beats per minute|60.*100\s*(bpm|beats per minute),60rHZ@a#PV SeH@X~100 beats per minute,60rHZ@a#PV SeH@X~100 beats per minute is the normal pulse rate,0,1
1751,factoid,Where is Mesa Verde National park?,Colo(\.?|rado)|Cortez,Colo,Mesa Verde National park is in Colo ,0,0
1413,factoid,"What river is called ""China's Sorrow""?",Yellow|Yangzi|Yangtze,Yellow,Yellow  river is called `` China 's Sorrow '',0,0
2156,factoid,How fast does Randy Johnson throw?,(95|98|100(.1)?).*?(mph|miles per hour)|160\s*(km|kilometers).*h|102 MPH|randy Johnson|the fastest pitch|the theoretical maximum speed that a pitcher can throw,"95W2I9f 4Fil>V}K)nw(="" -gWy7VJYfoTmf'{=M,6)ow:8b2S B>{s2;%~Ux3d.IDtL8#;qK=KZ}HjD@(CE'j=~g)3UwM;Umph","fast does Randy Johnson throw   95W2I9f 4Fil>V}K)nw(="" -gWy7VJYfoTmf'{=M,6)ow:8b2S B>{s2;%~Ux3d.IDtL8#;qK=KZ}HjD@(CE'j=~g)3UwM;Umph ",0,0
1803,factoid,When did Willis Haviland Carrier make the air conditioner?,1902,1902,Willis Haviland Carrier make the air conditioner  in 1902 ,0,0
1809,factoid,"When was the Buckingham Palace built in London, England?",1703,1703,England  in 1703 ,0,0
2306,factoid,How big is the Great Pyramid?,146.5\s*m|481\s*f(oo|ee)?t|138.8\s*m|455\s*f(oo|ee)?t|230.4\s*m|756\s*f(oo|ee)?t,138p8 m,the Great Pyramid is  138p8 m big,0,0
10053,factoid,chemical symbol of ethylene ?,C.*2.*H.*4,C  2  H  4,C  2  H  4  symbol of ethylene,0,0
2367,factoid,How tall is the Washington Monument?,555\s*('|f(ee|oo)?t)|169\s*m,169 m,tall is the Washington Monument   169 m ,0,2
2269,factoid,How long is a quarter in an NBA game?,12.m.*,12 m  ,a quarter in an NBA game is  12 m   long,0,0
1591,factoid,What percentage of the population is left handed?,(ten|10)\s*(percent|%),10 percent,10 percent  percentage of the population is left handed,0,0
1879,factoid,"By what nickname was musician Ernesto Antonio Puente, Jr. best known?",El Rey|Tito,El Rey,El Rey  Jr. best known,0,0
10024,factoid,What is the first derivative of x^2?,2\s*.?\s*x,2 x,2 x is the first derivative of x^2,0,0
2109,factoid,When was the U.N. created?,1945,1945,the U.N. created  in 1945 ,0,0
2058,factoid,"What is the motto of the ""New York Times""?",all the news that's fit to print,all the news that's fit to print,all the news that's fit to print is the motto of the `` New York Times '',0,0
1399,factoid,What mythical Scottish town appears for one day every 100 years?,Brigadoon|only one day,only one day,only one day  mythical Scottish town appears for one day every 100 years,0,0
1401,factoid,What is the democratic party symbol?,donkey,donkey,donkey is the democratic party symbol,0,0
2023,factoid,What continent is the world's largest dessert on?,Africa,Africa,Africa  continent is the world 's largest dessert on,0,0
1474,factoid,What is the lowest point on dry land?,Dead Sea,Dead Sea,Dead Sea is the lowest point on dry land,0,0
2292,factoid,What do you call a bone doctor?,Orthopedic|Orthopedist|Orthopaedic surgery or orthopaedics,Orthopedic,Orthopedic  do you call a bone doctor,0,0
1455,factoid,The Hindenburg disaster took place in 1937 in which New Jersey town?,Lakehurst,Lakehurst,Lakehurst  New Jersey town,0,0
2039,factoid,What college did Allen Iverson go to?,Georgetown,Georgetown,Georgetown  college did Allen Iverson go to,0,0
2013,factoid,How many stripes are on the American flag?,13|thirteen,thirteen,stripes are on the American flag   thirteen many,0,1
1996,factoid,What city is Duke University in?,Durham,Durham,Durham  city is Duke University in,0,0
1937,factoid,How fast can a nuclear submarine travel?,(25|30|33)\s*knots|29\s*(mph|miles per hour)|46\s*(kph|kilometers per hour),46 kph,fast can a nuclear submarine travel   46 kph ,0,0
1814,factoid,What gift is proper for a 1st anniversary?,paper|plastic|clock,clock,clock  gift is proper for a 1st anniversary,0,0
1925,factoid,What did Ozzy Osbourne bite the head off of?,bat|\– Ozzy Osbourne,– Ozzy Osbourne,– Ozzy Osbourne  did Ozzy Osbourne bite the head off of,0,0
1449,factoid,What college did Magic Johnson attend?,Michigan State,Michigan State,Michigan State  college did Magic Johnson attend,0,0
1746,factoid,Who stabbed Monica Seles?,Parche|Graf fan|fan of (Steffi )?Graf|Graf,Parche,Parche  stabbed Monica Seles,0,0
1757,factoid,When did the battle of Iwo Jima take place?,1944|1945,1945,the battle of Iwo Jima take place  in 1945 ,0,0
1753,factoid,"When was the Vietnam Veterans Memorial in Washington, D.C. built?",1982,1982,D.C. built  in 1982 ,0,0
1616,factoid,When is Gerald Ford's birthday?,"July 14, 1913","July 14, 1913","Gerald Ford 's birthday is in July 14, 1913 ",0,2
2341,factoid,When was barbed wire invented?,1867,1867,barbed wire invented  in 1867 ,0,0
2242,factoid,What chemical is in chocolate that helps with depression?,phenylethylamine|dopamine|serotonin,phenylethylamine,phenylethylamine  helps with depression,0,3
1484,factoid,What college did Allen Iverson attend?,Georgetown,Georgetown,Georgetown  college did Allen Iverson attend,0,0
2169,factoid,What day did Pearl Harbor occur?,"Dec\s?(ember|.) 7,?|Sunday|1941\-12\-07",Sunday,Sunday  day did Pearl Harbor occur,0,3
2036,factoid,How many counties are in California?,58,58,counties are in California   58 many,0,0
1542,factoid,Where is Hill Air Force Base?,"Ogden,?|Utah|about 120 kilometers west of Salt_Lake_City",about 120 kilometers west of Salt_Lake_City,Hill Air Force Base is in about 120 kilometers west of Salt_Lake_City ,0,0
2035,factoid,How many stomachs does a cow have?,four|\b4\b,4,stomachs does a cow have   4 many,0,0
1825,factoid,What year did Nintendo 64 come out?,1996,1996,1996  year did Nintendo 64 come out,0,0
10067,factoid,in which country was microsoft founded?,\bU(nited|\.)?\s*S(tates|\.)?\b,U S,U S  country was microsoft founded,0,0
