,id,phrase,replacements,label
31,e82bae79-8891-4244-9745-bcb07935845c,n't enjoy event,{},profile
32,e82bae79-8891-4244-9745-bcb07935845c,downloaed a file from <page-type> page,"{""page-type"": ""exhibitor""}",file
33,e82bae79-8891-4244-9745-bcb07935845c,n't enjoy the event,{},profile
34,e82bae79-8891-4244-9745-bcb07935845c,name <first-name>,"{""first-name"": ""Marjorie""}",profile
35,e82bae79-8891-4244-9745-bcb07935845c,replied to <sentiment> post,"{""sentiment"": ""negative""}",reply
36,e82bae79-8891-4244-9745-bcb07935845c,<first-name>s,"{""first-name"": ""Marjorie""}",profile
37,e82bae79-8891-4244-9745-bcb07935845c,downloaded <page-type> file,"{""page-type"": ""exhibitor""}",file
38,e82bae79-8891-4244-9745-bcb07935845c,first name <first-name>,"{""first-name"": ""Marjorie""}",profile
39,e82bae79-8891-4244-9745-bcb07935845c,replied to post with <sentiment> sentiment,"{""sentiment"": ""negative""}",reply
40,e82bae79-8891-4244-9745-bcb07935845c,named <first-name>,"{""first-name"": ""Marjorie""}",profile
41,e82bae79-8891-4244-9745-bcb07935845c,wrote <sentiment> post,"{""sentiment"": ""positive""}",post
42,e82bae79-8891-4244-9745-bcb07935845c,clicked <company> ad,"{""company"": ""ablitech""}",ad
43,e82bae79-8891-4244-9745-bcb07935845c,participated in poll and answered <poll-answer>,"{""poll-answer"": ""yes""}",poll
44,e82bae79-8891-4244-9745-bcb07935845c,wrote a post with <sentiment> sentiment,"{""sentiment"": ""positive""}",post
45,e82bae79-8891-4244-9745-bcb07935845c,clicked on ad from <company>,"{""company"": ""'Ablitech Co'""}",ad
46,e82bae79-8891-4244-9745-bcb07935845c,clicked on ad from <company>,"{""company"": ""'Ablitech, Inc.'""}",ad
47,e82bae79-8891-4244-9745-bcb07935845c,never participated in poll,{},poll
48,e82bae79-8891-4244-9745-bcb07935845c,never answered <poll-answer>,"{""poll-answer"": ""yes""}",poll
49,e82bae79-8891-4244-9745-bcb07935845c,bio has <post-word> in it,"{""post-word"": ""'captive'""}",profile
50,e82bae79-8891-4244-9745-bcb07935845c,participated in no poll,{},poll
51,e82bae79-8891-4244-9745-bcb07935845c,rated <page-type> page,"{""page-type"": ""speaker""}",rate
52,e82bae79-8891-4244-9745-bcb07935845c,replied to <sentiment> sentiment post,"{""sentiment"": ""negative""}",reply
53,e82bae79-8891-4244-9745-bcb07935845c,liked <mention> post,"{""mention"": ""Caleb Ramirez'""}",like
54,e82bae79-8891-4244-9745-bcb07935845c,wrote at least <number> posts,"{""number"": ""4""}",post
55,e82bae79-8891-4244-9745-bcb07935845c,any <sentiment> post,"{""sentiment"": ""positive""}",post
56,e82bae79-8891-4244-9745-bcb07935845c,<post-word> in their bio,"{""post-word"": ""'captive'""}",profile
57,e82bae79-8891-4244-9745-bcb07935845c,replied to post with <post-word> in it,"{""post-word"": ""'captive'""}",reply
58,e82bae79-8891-4244-9745-bcb07935845c,phone <phone>,"{""phone"": ""(290) 448-8241""}",profile
59,e82bae79-8891-4244-9745-bcb07935845c,downloaded <file-name> file,"{""file-name"": ""'workshop.doc'""}",file
60,e82bae79-8891-4244-9745-bcb07935845c,downloaded <file-name> document,"{""file-name"": ""workshop""}",file
61,e82bae79-8891-4244-9745-bcb07935845c,viewed page  <number> times,"{""number"": ""5""}",view
62,e82bae79-8891-4244-9745-bcb07935845c,never participated in polls,{},poll
63,e82bae79-8891-4244-9745-bcb07935845c,liked post by <mention>,"{""mention"": ""Caleb Ramirez""}",like
64,0bb4c343-8c07-42aa-bb34-fcd9a1989d41,<last-name> as a last name,"{""last-name"": ""White""}",profile
65,0bb4c343-8c07-42aa-bb34-fcd9a1989d41,liked posts by <mention>,"{""mention"": ""Shawna Potter""}",like
66,0bb4c343-8c07-42aa-bb34-fcd9a1989d41,downloaded a file from page with <page-type> type,"{""page-type"": ""'sponsor'""}",file
67,0bb4c343-8c07-42aa-bb34-fcd9a1989d41,last name <last-name>,"{""last-name"": ""White""}",profile
68,0bb4c343-8c07-42aa-bb34-fcd9a1989d41,liked at least <number> post by <mention>,"{""mention"": ""Shawna Potter"",""number"":""one""}",like
69,0bb4c343-8c07-42aa-bb34-fcd9a1989d41,downloaded file from <page-type> type page,"{""page-type"": ""'sponsor'""}",file
70,1c17a974-92f1-44a5-9e05-ce75db85d775,rated page containing <post-word>,"{""post-word"": ""'abomination'""}",rate
71,1c17a974-92f1-44a5-9e05-ce75db85d775,phone <phone>,"{""phone"": ""(331) 408-2679""}",profile
72,1c17a974-92f1-44a5-9e05-ce75db85d775,not <enjoyment> the event,"{""enjoyment"": ""enjoyed""}",profile
73,1c17a974-92f1-44a5-9e05-ce75db85d775,rated page with <post-word> in text,"{""post-word"": ""'abomination'""}",rate
74,1c17a974-92f1-44a5-9e05-ce75db85d775,n't impressed by the event,{},profile
75,1c17a974-92f1-44a5-9e05-ce75db85d775,clicked on any ad <number> times,"{""number"": ""6""}",ad
76,1c17a974-92f1-44a5-9e05-ce75db85d775,liked post written by <mention>,"{""mention"": ""Dolores Cummings""}",like
77,1c17a974-92f1-44a5-9e05-ce75db85d775,rated page with word <post-word> in text,"{""post-word"": ""'abomination'""}",rate
78,1c17a974-92f1-44a5-9e05-ce75db85d775,liked <mention> post,"{""mention"": ""Dolores Cummings'""}",like
79,1c17a974-92f1-44a5-9e05-ce75db85d775,replied to <mention>s post,"{""mention"": ""Hoe Griffith'""}",reply
80,1c17a974-92f1-44a5-9e05-ce75db85d775,liked post containing word <post-word>,"{""post-word"": ""'coastal'""}",like
81,1c17a974-92f1-44a5-9e05-ce75db85d775,left a note on page <number> times,"{""number"": ""9""}",note
82,1c17a974-92f1-44a5-9e05-ce75db85d775,replied to post written by Hoe <mention>s,"{""mention"": ""Hoe Griffith'""}",reply
83,1c17a974-92f1-44a5-9e05-ce75db85d775,liked post with word <post-word>,"{""post-word"": ""'coastal'""}",like
84,1c17a974-92f1-44a5-9e05-ce75db85d775,<number> times left a note on a page,"{""number"": ""9""}",note
85,1c17a974-92f1-44a5-9e05-ce75db85d775,left <number> notes on a page,"{""number"": ""9""}",note
86,1c17a974-92f1-44a5-9e05-ce75db85d775,viewed a page with word <post-word>,"{""post-word"": ""'adsorbable'""}",view
87,1c17a974-92f1-44a5-9e05-ce75db85d775,downloaded <number> files,"{""number"": ""5""}",file
88,47f882a6-7098-4f35-ba9a-543bf1658bef,a <social-network> account,"{""social-network"": ""linkedin""}",profile
89,47f882a6-7098-4f35-ba9a-543bf1658bef,clicked on an ad with the word <post-word>,"{""post-word"": ""'big'""}",ad
90,47f882a6-7098-4f35-ba9a-543bf1658bef, commented with a word <post-word>,"{""post-word"": ""'convulsion'""}",reply
91,47f882a6-7098-4f35-ba9a-543bf1658bef,a <social-network> connection,"{""social-network"": ""linkedin""}",profile
92,47f882a6-7098-4f35-ba9a-543bf1658bef,clicked an ad containing <post-word>,"{""post-word"": ""'big'""}",ad
93,47f882a6-7098-4f35-ba9a-543bf1658bef, left a note with <post-word>,"{""post-word"": ""'convulsion'""}",note
94,47f882a6-7098-4f35-ba9a-543bf1658bef,clicked an ad with a word <post-word>,"{""post-word"": ""'big'""}",ad
95,47f882a6-7098-4f35-ba9a-543bf1658bef,are connected with <social-network>,"{""social-network"": ""linkedin""}",profile
96,47f882a6-7098-4f35-ba9a-543bf1658bef,left commented about <post-word>,"{""post-word"": ""'convulsion'""}",reply
97,89fe7888-256c-4892-a213-457e66729b10,"""<post-word>"" in their bio","{""post-word"": ""big""}",profile
98,89fe7888-256c-4892-a213-457e66729b10,liked post about <post-word>,"{""post-word"": ""biplane""}",like
99,89fe7888-256c-4892-a213-457e66729b10,replied to post by <mention>,"{""mention"": ""Sherman Cooper""}",reply
100,89fe7888-256c-4892-a213-457e66729b10,"""<post-word>"" in bio","{""post-word"": ""big""}",profile
101,89fe7888-256c-4892-a213-457e66729b10,likes <post-word>s,"{""post-word"": ""biplane""}",like
102,89fe7888-256c-4892-a213-457e66729b10,replied to <mention>,"{""mention"": ""Sherman Cooper""}",reply
103,89fe7888-256c-4892-a213-457e66729b10,"""<post-word>"" in description","{""post-word"": ""big""}",profile
104,89fe7888-256c-4892-a213-457e66729b10,liked some post on <post-word>s,"{""post-word"": ""biplane""}",like
105,89fe7888-256c-4892-a213-457e66729b10,"like posts with ""<post-word>"" in it","{""post-word"": ""biplane""}",like
106,89fe7888-256c-4892-a213-457e66729b10,liked post on <post-word>,"{""post-word"": ""biplane""}",like
107,89fe7888-256c-4892-a213-457e66729b10,replied to <mention>,"{""mention"": ""Cooper""}",reply
108,7ed51af2-135b-476a-98c5-3e8da03c9e2e,liked the post <number> times,"{""number"": ""9""}",like
109,7ed51af2-135b-476a-98c5-3e8da03c9e2e,<first-name> as first name,"{""first-name"": ""Chante""}",profile
110,7ed51af2-135b-476a-98c5-3e8da03c9e2e,the name <first-name>,"{""first-name"": ""Chante""}",profile
111,7ed51af2-135b-476a-98c5-3e8da03c9e2e,liked the post <number> time,"{""number"": ""9""}",like
112,7ed51af2-135b-476a-98c5-3e8da03c9e2e,first name <first-name>,"{""first-name"": ""Chante""}",profile
113,7ed51af2-135b-476a-98c5-3e8da03c9e2e,named <first-name>,"{""first-name"": ""Chante""}",profile
114,7ed51af2-135b-476a-98c5-3e8da03c9e2e,the word <post-word> in bio,"{""post-word"": ""'captive'""}",profile
115,7ed51af2-135b-476a-98c5-3e8da03c9e2e,liked the post <number> times,"{""number"": ""nine""}",like
116,7ed51af2-135b-476a-98c5-3e8da03c9e2e,<first-name> as first name,"{""first-name"": ""'Chante'""}",profile
117,7ed51af2-135b-476a-98c5-3e8da03c9e2e,liked post <number> times,"{""number"": ""9""}",like
118,7ed51af2-135b-476a-98c5-3e8da03c9e2e,<post-word> in the bio,"{""post-word"": ""'captive'""}",profile
119,7ed51af2-135b-476a-98c5-3e8da03c9e2e,first name <first-name>,"{""first-name"": ""'Chante'""}",profile
120,7ed51af2-135b-476a-98c5-3e8da03c9e2e,replied to post about <post-word>,"{""post-word"": ""blackout""}",reply
121,7ed51af2-135b-476a-98c5-3e8da03c9e2e,rated page <number> times,"{""number"": ""3""}",rate
122,7ed51af2-135b-476a-98c5-3e8da03c9e2e,wrote a post that contains <post-word>?,"{""post-word"": ""'big'""}",post
123,7ed51af2-135b-476a-98c5-3e8da03c9e2e,wrote the post about <post-word>,"{""post-word"": ""'big'""}",post
124,7ed51af2-135b-476a-98c5-3e8da03c9e2e,replied to the post that contains word <post-word>?,"{""post-word"": ""'blackout'""}",reply
125,7ed51af2-135b-476a-98c5-3e8da03c9e2e,mentioned <post-word>,"{""post-word"": ""'big'""}",post
126,7ed51af2-135b-476a-98c5-3e8da03c9e2e,replied on post containing <post-word>,"{""post-word"": ""'blackout'""}",reply
127,7ed51af2-135b-476a-98c5-3e8da03c9e2e,rated the page <number> times?,"{""number"": ""3""}",rate
128,7ed51af2-135b-476a-98c5-3e8da03c9e2e,"replied to the post that contains word <post-word>""","{""post-word"": ""'blackout""}",reply
129,7ed51af2-135b-476a-98c5-3e8da03c9e2e,"wrote a post containing <post-word>
","{""post-word"": ""'big'""}",post
130,7ed51af2-135b-476a-98c5-3e8da03c9e2e,replied to post with <post-word> in it,"{""post-word"": ""'blackout'""}",reply
131,7ed51af2-135b-476a-98c5-3e8da03c9e2e,rated the page <number> times,"{""number"": ""three""}",rate
132,7ed51af2-135b-476a-98c5-3e8da03c9e2e,wrote post that contains <post-word>,"{""post-word"": ""'big'""}",post
133,c255bb86-9172-4cc9-84a2-7e710e94106e,wrote a note on page with word <post-word>,"{""post-word"": ""'easy'""}",note
134,c255bb86-9172-4cc9-84a2-7e710e94106e,liked a <sentiment> post <number> times,"{""sentiment"": ""positive"", ""number"": ""3""}",like
135,c255bb86-9172-4cc9-84a2-7e710e94106e,left a note on page containing <post-word>,"{""post-word"": ""'easy'""}",note
136,c255bb86-9172-4cc9-84a2-7e710e94106e,made <number> likes on <sentiment> posts,"{""sentiment"": ""positive"", ""number"": ""3""}",like
137,c255bb86-9172-4cc9-84a2-7e710e94106e,created a post with word <post-word> in text,"{""post-word"": ""'easy'""}",post
138,c255bb86-9172-4cc9-84a2-7e710e94106e,liked <number> <sentiment> posts,"{""sentiment"": ""positive"", ""number"": ""3""}",like
139,c255bb86-9172-4cc9-84a2-7e710e94106e,created a post on page containing <post-word>,"{""post-word"": ""'easy'""}",post
140,c255bb86-9172-4cc9-84a2-7e710e94106e,replied to <mention>s post,"{""mention"": ""Andy Chandler'""}",reply
141,c255bb86-9172-4cc9-84a2-7e710e94106e,bio contains <post-word>,"{""post-word"": ""'beyond'""}",profile
142,c255bb86-9172-4cc9-84a2-7e710e94106e,viewed <number> pages,"{""number"": ""2""}",view
143,c255bb86-9172-4cc9-84a2-7e710e94106e,replied to post written by <mention>,"{""mention"": ""Andy Chandler""}",reply
144,c255bb86-9172-4cc9-84a2-7e710e94106e,viewed page <number> times,"{""number"": ""2""}",view
145,c255bb86-9172-4cc9-84a2-7e710e94106e,bio containing word <post-word>,"{""post-word"": ""'beyond'""}",profile
146,c255bb86-9172-4cc9-84a2-7e710e94106e,either <position> position,"{""position"": ""Asylum or Immigration Officer""}",profile
147,c255bb86-9172-4cc9-84a2-7e710e94106e,website named <website>,"{""website"": ""'bandcamp.com'""}",profile
148,c255bb86-9172-4cc9-84a2-7e710e94106e,make a reply to the post written by <mention>,"{""mention"": ""Andy Chandler""}",reply
149,c255bb86-9172-4cc9-84a2-7e710e94106e,<website> website,"{""website"": ""'bandcamp.com'""}",profile
150,ad086d89-92c8-439f-adf4-e3dc3a62b13c,liked posts about <post-word>,"{""post-word"": ""'escapist'""}",like
151,ad086d89-92c8-439f-adf4-e3dc3a62b13c,first name = <first-name>,"{""first-name"": ""'Lavern'""}",profile
152,ad086d89-92c8-439f-adf4-e3dc3a62b13c,rated pages with type <page-type>,"{""page-type"": ""'session'""}",rate
153,ad086d89-92c8-439f-adf4-e3dc3a62b13c,first name is <first-name>,"{""first-name"": ""'Lavern'""}",profile
154,ad086d89-92c8-439f-adf4-e3dc3a62b13c,rated <page-type> pages,"{""page-type"": ""'session'""}",rate
155,ad086d89-92c8-439f-adf4-e3dc3a62b13c,gave rating to <page-type> pages,"{""page-type"": ""'session'""}",rate
156,ad086d89-92c8-439f-adf4-e3dc3a62b13c,first name was <first-name>,"{""first-name"": ""'Lavern'""}",profile
157,ad086d89-92c8-439f-adf4-e3dc3a62b13c,liked all posts about <post-word>,"{""post-word"": ""'escapist'""}",like
158,ad086d89-92c8-439f-adf4-e3dc3a62b13c,from <location>,"{""location"": ""'Greece'""}",profile
159,ad086d89-92c8-439f-adf4-e3dc3a62b13c,website = <website>,"{""website"": ""'free.fr'""}",profile
160,ad086d89-92c8-439f-adf4-e3dc3a62b13c,attended event <number> times,"{""number"": ""3""}",event
161,ad086d89-92c8-439f-adf4-e3dc3a62b13c,participated in event <number> times,"{""number"": ""3""}",event
162,ad086d89-92c8-439f-adf4-e3dc3a62b13c,their website is <website>,"{""website"": ""'free.fr'""}",profile
163,ad086d89-92c8-439f-adf4-e3dc3a62b13c,location is <location>,"{""location"": ""'Greece'""}",profile
164,ad086d89-92c8-439f-adf4-e3dc3a62b13c,website set in their profile as <website>,"{""website"": ""'free.fr'""}",profile
165,ad086d89-92c8-439f-adf4-e3dc3a62b13c,all of them from <location>,"{""location"": ""'Greece'""}",profile
166,98be4665-b3db-4133-a8cf-299dfa8205ab,clicked <number> times on the ad on <page-type> page,"{""page-type"": ""exhibitor"",""number"":""five""}",ad
167,98be4665-b3db-4133-a8cf-299dfa8205ab,no downloads,{},file
168,98be4665-b3db-4133-a8cf-299dfa8205ab,clicked <number> times on the ad on the <page-type> page,"{""page-type"": ""exhibitor"",""number"":""five""}",ad
169,98be4665-b3db-4133-a8cf-299dfa8205ab,<number> downloads,"{""number"":""zero""}",file
170,98be4665-b3db-4133-a8cf-299dfa8205ab,users clicked <number> times ad <page-type> page,"{""number"": ""5"", ""page-type"": ""exhibitor""}",ad
171,98be4665-b3db-4133-a8cf-299dfa8205ab,<number> downloads,"{""number"": ""0""}",file
172,98be4665-b3db-4133-a8cf-299dfa8205ab,"bio having ""<post-word>""","{""post-word"": ""biplane""}",profile
173,98be4665-b3db-4133-a8cf-299dfa8205ab,attended once,{},event
174,98be4665-b3db-4133-a8cf-299dfa8205ab,liked a <sentiment> post,"{""sentiment"": ""positive""}",like
175,98be4665-b3db-4133-a8cf-299dfa8205ab,<post-word> in bio,"{""post-word"": ""'biplane'""}",profile
176,98be4665-b3db-4133-a8cf-299dfa8205ab,attended before,{},event
177,98be4665-b3db-4133-a8cf-299dfa8205ab,liked a <sentiment>ly colored sentiment,"{""sentiment"": ""positive""}",like
178,98be4665-b3db-4133-a8cf-299dfa8205ab,exactly <number> attend,"{""number"":""one""}",event
179,98be4665-b3db-4133-a8cf-299dfa8205ab,liked a post with a <sentiment> sentiment,"{""sentiment"": ""positive""}",like
180,98be4665-b3db-4133-a8cf-299dfa8205ab,"who's bio contains ""<post-word>""","{""post-word"": ""biplane""}",profile
181,98be4665-b3db-4133-a8cf-299dfa8205ab,"a ""<post-word>"" in their profile description","{""post-word"": ""biplane""}",profile
182,98be4665-b3db-4133-a8cf-299dfa8205ab,attended an event once,{},event
183,98be4665-b3db-4133-a8cf-299dfa8205ab,liked a post that can be said to be a <sentiment> one,"{""sentiment"": ""positive""}",like
184,98be4665-b3db-4133-a8cf-299dfa8205ab,"wrote a post with ""<post-word>""","{""post-word"": ""rare""}",post
185,98be4665-b3db-4133-a8cf-299dfa8205ab,replied to <mention>,"{""mention"": ""Stacy Vaughn""}",reply
186,98be4665-b3db-4133-a8cf-299dfa8205ab,also has <phone> as phone,"{""phone"": ""(771) 171-3243""}",profile
187,98be4665-b3db-4133-a8cf-299dfa8205ab,"post ""<post-word>""","{""post-word"": ""rare""}",post
188,98be4665-b3db-4133-a8cf-299dfa8205ab,made reply to <mention>,"{""mention"": ""Stacy Vaughn""}",reply
189,98be4665-b3db-4133-a8cf-299dfa8205ab,<phone> phone,"{""phone"": ""(344) 842-7718""}",profile
190,98be4665-b3db-4133-a8cf-299dfa8205ab,reply to <mention>,"{""mention"": ""Stacy Vaughn""}",reply
191,98be4665-b3db-4133-a8cf-299dfa8205ab,phone number <phone>,"{""phone"": ""(344) 842-7718""}",profile
192,98be4665-b3db-4133-a8cf-299dfa8205ab,"post has ""<post-word>""","{""post-word"": ""rare""}",post
193,98be4665-b3db-4133-a8cf-299dfa8205ab,"post containing ""<post-word>"" word","{""post-word"": ""rare""}",post
194,98be4665-b3db-4133-a8cf-299dfa8205ab,a reply to a user named <mention>,"{""mention"": ""Stacy Vaughn""}",reply
195,98be4665-b3db-4133-a8cf-299dfa8205ab,a phone <phone>,"{""phone"": ""(344) 842-7718""}",profile
196,98be4665-b3db-4133-a8cf-299dfa8205ab,"the ""<post-word>"" word in their writings","{""post-word"": ""rare""}",post
197,98be4665-b3db-4133-a8cf-299dfa8205ab,number is <phone>,"{""phone"": ""(344) 842-7718""}",profile
198,3733dc0c-6d13-4260-bd47-0826b656ba9c,downloaded a file <number> times,"{""number"": ""5""}",file
199,3733dc0c-6d13-4260-bd47-0826b656ba9c,answered a poll <poll-answer> <number> times,"{""poll-answer"":""'no'"",""number"":""three""}",poll
200,3733dc0c-6d13-4260-bd47-0826b656ba9c,answered <number> polls with <poll-answer>,"{""poll-answer"":""'no'"",""number"":""three""}",poll
201,3733dc0c-6d13-4260-bd47-0826b656ba9c,downloaded a file <number> times,"{""number"":""five""}",file
202,3733dc0c-6d13-4260-bd47-0826b656ba9c,answered <poll-answer> for a poll,"{""poll-answer"":""'no'""}",poll
203,3733dc0c-6d13-4260-bd47-0826b656ba9c,answered at least <number> polls,"{""number"": ""three""}",poll
204,3733dc0c-6d13-4260-bd47-0826b656ba9c,answered <number> polls,"{""number"": ""three""}",poll
205,3733dc0c-6d13-4260-bd47-0826b656ba9c,at least <number> answer was <poll-answer>,"{""number"":""one"",""poll-answer"":""'no'""}",poll
206,3733dc0c-6d13-4260-bd47-0826b656ba9c,located in <locatoin>,"{""location"":""North Korea""}",profile
207,3733dc0c-6d13-4260-bd47-0826b656ba9c,rated a page that contains <post-word> at least <number> times,"{""post-word"": ""'gargoyle'"", ""poll-answer"": ""No"",""number"":""nine""}",rate
208,3733dc0c-6d13-4260-bd47-0826b656ba9c,liked a page <number> time and the page contains <post-word>,"{""number"":""nine"",""post-word"":""'gargoyle'""}",rate
209,3733dc0c-6d13-4260-bd47-0826b656ba9c,the attendee is located in <poll-answer>rth Korea,"{""poll-answer"": ""No""}",profile
210,3733dc0c-6d13-4260-bd47-0826b656ba9c,attended the event 'Deeply Seals<number><number>,"{""number"": ""5'""}",event
211,3733dc0c-6d13-4260-bd47-0826b656ba9c,<website> website,"{""website"": ""'ow.ly'""}",profile
212,3733dc0c-6d13-4260-bd47-0826b656ba9c,viewed a page two times,{},view
213,3733dc0c-6d13-4260-bd47-0826b656ba9c, <website> as website,"{""website"": ""'ow.ly'""}",profile
214,3733dc0c-6d13-4260-bd47-0826b656ba9c,viewed at least two pages,{},view
215,a6568381-2d52-4699-877e-36f5a9956010,answered <poll-answer> in poll,"{""poll-answer"": ""No""}",poll
216,a6568381-2d52-4699-877e-36f5a9956010,replied to post with <post-word>,"{""post-word"": ""'biplane'""}",reply
217,a6568381-2d52-4699-877e-36f5a9956010,voted <poll-answer> in any poll,"{""poll-answer"": ""No""}",poll
218,a6568381-2d52-4699-877e-36f5a9956010,liked <mention>s post,"{""mention"": ""Caleb Ramirez'""}",like
219,a6568381-2d52-4699-877e-36f5a9956010,replied to the post contains <post-word>,"{""post-word"": ""'biplane'""}",reply
220,a6568381-2d52-4699-877e-36f5a9956010,answered <poll-answer> in any poll,"{""poll-answer"": ""No""}",poll
221,a6568381-2d52-4699-877e-36f5a9956010,liked <mention>s content,"{""mention"": ""Caleb Ramirez'""}",like
222,a6568381-2d52-4699-877e-36f5a9956010,commented to the post about <post-word>,"{""post-word"": ""'biplane'""}",reply
223,a6568381-2d52-4699-877e-36f5a9956010,voted <poll-answer>,"{""poll-answer"": ""No""}",poll
224,a6568381-2d52-4699-877e-36f5a9956010,liked post written by <mention>,"{""mention"": ""Caleb Ramirez""}",like
225,a6568381-2d52-4699-877e-36f5a9956010,commented with <post-word> to the post ,"{""post-word"": ""'biplane'""}",reply
226,a6568381-2d52-4699-877e-36f5a9956010,liked message by <mention>,"{""mention"": ""Caleb Ramirez""}",like
227,a6568381-2d52-4699-877e-36f5a9956010,left a reply for the post about <post-word>,"{""post-word"": ""'biplane'""}",reply
228,a6568381-2d52-4699-877e-36f5a9956010,liked  <mention>s message,"{""mention"": ""Caleb Ramirez'""}",like
229,a6568381-2d52-4699-877e-36f5a9956010, voted <poll-answer>,"{""poll-answer"": ""No""}",poll
230,a6568381-2d52-4699-877e-36f5a9956010,left a comment for the post with <post-word>,"{""post-word"": ""'biplane'""}",reply
231,a6568381-2d52-4699-877e-36f5a9956010,attended Deaply Seals<number><number>,"{""number"": ""5""}",event
232,a6568381-2d52-4699-877e-36f5a9956010,rated page with <number> stars,"{""number"": ""0""}",rate
233,4a98f580-3e45-4f60-9128-8195f08bd995,wrote a post mentioning <mention> ,"{""mention"": ""Estelle Jimenez""}",post
234,4a98f580-3e45-4f60-9128-8195f08bd995,work at <company>,"{""company"": ""Abbott Laboratories""}",profile
235,4a98f580-3e45-4f60-9128-8195f08bd995,rated a page at least one time ,{},rate
236,4a98f580-3e45-4f60-9128-8195f08bd995,viewed a page <number> times,"{""number"": ""5""}",view
237,4a98f580-3e45-4f60-9128-8195f08bd995,wrote a post that got <number> replies,"{""number"": ""7""}",post
238,4a98f580-3e45-4f60-9128-8195f08bd995,replied to a post with <sentiment> sentiment,"{""sentiment"": ""negative""}",reply
239,4a98f580-3e45-4f60-9128-8195f08bd995,wrote a post with <number> comments,"{""number"": ""7""}",post
240,4a98f580-3e45-4f60-9128-8195f08bd995,commented <sentiment>ly,"{""sentiment"": ""negative""}",reply
241,4a98f580-3e45-4f60-9128-8195f08bd995,bad things to say in a comment ,{},reply
242,4a98f580-3e45-4f60-9128-8195f08bd995,wrote post that got <number> comments ,"{""number"": ""7""}",post
