,sent,title,year,author
851,"Aged nine, Rowling moved to Church Cottage in the Gloucestershire village of Tutshill, close to Chepstow, Wales.",,,J.K. Rowling
1231,"The Guardian.
",,,J.K. Rowling
1167,"British Book Awards, Author of the Year
2000:",,,J.K. Rowling
693,"Allen Ginsberg, initially unimpressed, would later be one of his great proponents, and it was Kerouac's free-flowing prose method that inspired the composition of Ginsburg's poem ""Howl"".",,,Jack Kerouac
448,"==


=",,,Mark Twain
211,"The book is also notable because it is his only collaboration, written with his neighbor Charles Dudley Warner.
",,,Mark Twain
232,"The rest is just cheating.

",,,Mark Twain
1048,"== Philanthropy ==
",,,J.K. Rowling
503,"Jack Kerouac later referred to 34 Beaulieu Street as ""sad Beaulieu"".",,,Jack Kerouac
844,"When she heard his story of bravery and discovered the croix de guerre was for ""ordinary"" soldiers like her grandfather, who had been a waiter, she stated the croix de guerre was ""better"" to her than the Legion of Honour.


",,,J.K. Rowling
908,"Although Bloomsbury agreed to publish the book, Cunningham says that he advised Rowling to get a day job, since she had little chance of making money in children's books.",,,J.K. Rowling
131,=== Speaking engagements ==,,,Mark Twain
797,"==


=== Sources",,,Jack Kerouac
166,"Twain was born two weeks after Halley's Comet's closest approach in 1835; he said in 1909:

I came in with Halley's Comet in 1835.",,,Mark Twain
558,"A William S. Burroughs Reader (and as noted below, the novel was finally published late 2008).",,,Jack Kerouac
1008,"India Knight, a novelist and columnist for The Sunday Times, tweeted on 9 July 2013 that she had been reading The Cuckoo's Calling and thought it was good for a début novel.",,,J.K. Rowling
701,"(Boréal, 2016) edited by University of Pennsylvania professor Jean-Christophe Cloutier.",,,Jack Kerouac
731,""" The 10,000 Maniacs wrote a song bearing his name, ""Hey Jack Kerouac"" on their 1987 album",,,Jack Kerouac
997,"In its first three weeks of release, The Casual Vacancy sold over 1 million copies worldwide.
",,,J.K. Rowling
83,== Love of science and technology ==,,,Mark Twain
52,"His experiences in the American West inspired Roughing It, written during 1870–71 and published in 1872.",Roughing It,1872.0,Mark Twain
74,"Twain moved his family to Hartford, Connecticut, where he arranged the building of a home starting in 1873.",,,Mark Twain
1230,"""I feel duped and angry at David Cameron's reaction to Leveson"".",,,J.K. Rowling
784,"Previously, a fragment of the manuscript had been published in the Burroughs compendium, Word Virus.
",,,Jack Kerouac
1066,"In July 2012, Rowling was featured at the 2012 Summer Olympics opening ceremony in London where she read a few lines from J. M. Barrie's Peter Pan as part of a tribute to Great Ormond Street Hospital for Children.",,,J.K. Rowling
96,"It was a beautifully engineered mechanical marvel that amazed viewers when it worked, but it was prone to breakdowns.",,,Mark Twain
1181,"===


==== Harry Potter series ====
Harry Potter and the Philosopher's Stone (26 June 1997)
Harry Potter and the Chamber of Secrets (2 July 1998)
Harry Potter and the Prisoner of Azkaban (8 July 1999)
Harry Potter and the Goblet of Fire (8 July 2000)
",,,J.K. Rowling
854,Rowling has said that her teenage years were unhappy.,,,J.K. Rowling
135,"He was told that only three men had been so honored, including the Prince of Wales, and he replied: ""Well, it must make the Prince feel mighty fine.""",,,Mark Twain
164,"In 1907, he met Dorothy Quick (aged 11) on a transatlantic crossing, beginning ""a friendship that was to last until the very day of his death"".
",,,Mark Twain
168,It will be the greatest disappointment of my life if I don't go out with Halley's Comet.,,,Mark Twain
1012,"After discovering that Rowling and Galbraith had the same agent and editor, he sent the books for linguistic analysis which found similarities, and subsequently contacted Rowling's agent who confirmed it was Rowling's pseudonym.",,,J.K. Rowling
325,"I am always on the side of the revolutionists, because there never was a revolution unless there were some oppressive and intolerable conditions against which to revolute.


",,,Mark Twain
487,"All of his books are in print today, including The Town and the City,",,,Jack Kerouac
928,"This gap led to press speculation that Rowling had developed writer's block, speculations she denied.",,,J.K. Rowling
553,Kerouac's father refused to pay his bail.,,,Jack Kerouac
88,"Over 25,000 were sold.
",,,Mark Twain
969,"In 2004, Forbes named Rowling as the first person to become a US-dollar billionaire by writing books, the second-richest female entertainer and the 1,062nd richest person in the world.",,,J.K. Rowling
107,"Twain's writings and lectures enabled him to recover financially, combined with the help of a new friend.",,,Mark Twain
1207,"Sussman, Peter Y., editor (26 July 2006).",,,J.K. Rowling
1069,"In 2006, Rowling contributed a substantial sum toward the creation of a new Centre for Regenerative Medicine at Edinburgh University, later named the Anne Rowling Regenerative Neurology Clinic.",,,J.K. Rowling
1045,"The site includes 18,000 words of information on characters, places and objects in the Harry Potter universe.
",,,J.K. Rowling
75,"In the 1870s and 1880s, the family summered at Quarry Farm in Elmira, the home of Olivia's sister, Susan Crane.",,,Mark Twain
951,"Warner Bros. filmed the final instalment of the series, Harry Potter and the Deathly Hallows, in two segments, with part one being released on 19 November 2010 and part two being released on 15 July 2011.",,,J.K. Rowling
1138,"She admits to being ""thin-skinned"" and dislikes the fickle nature of reporting.",,,J.K. Rowling
446,"Mark Twain Birthplace State Historic Site
Mark Twain Boyhood Home & Museum
Mark Twain Riverboat
",,,Mark Twain
25,"The next year, Twain left school after the fifth grade to become a printer's apprentice.",,,Mark Twain
1022,"On 26 November 2013 the Solicitors Regulation Authority (SRA) issued Gossage a written rebuke and £1,000 fine for breaching privacy rules.
",,,J.K. Rowling
1034,=,,,J.K. Rowling
1130,"It's important to me.""",,,J.K. Rowling
710,La nuit est ma femme was written in early 1951 and completed a few days or weeks before he began the original English version of,La nuit est ma femme,1951,Jack Kerouac
141,"In 1881, Twain was honored at a banquet in Montreal, Canada where he made reference to securing a copyright.",,,Mark Twain
1026,I have colour-coded spreadsheets so I can keep a track of where I am going.,,,J.K. Rowling
5,"He referred humorously to his lack of success at mining, turning to journalism for the Virginia City Territorial Enterprise.",,,Mark Twain
351,"The many: the nations of the earth; the valuable personages; the workers; they that make the bread that the soft-handed and idle eat.


",,,Mark Twain
1155,"In 2014, Rowling reaffirmed her support for ""Hacked Off"" and its campaign towards press self-regulation by co-signing with other British celebrities a declaration to ""[safeguard] the press from political interference while also giving vital protection to the vulnerable.",,,J.K. Rowling
559,"Kerouac also later wrote about the killing in his novel Vanity of Duluoz.
",,,Jack Kerouac
1016,"On her Robert Galbraith website, Rowling explained that she took the name from one of her personal heroes, Robert Kennedy, and a childhood fantasy name she had invented for herself, Ella Galbraith.
",,,J.K. Rowling
479,"Jack Kerouac ( or , born Jean-Louis Kérouac (though he called himself Jean-Louis Lebris de Kérouac);",,,Jack Kerouac
177,There is also a smaller headstone.,,,Mark Twain
146,"These were sold in the United States as well as in Canada, depriving him of royalties.",,,Mark Twain
561,"He wrote his first published novel, The Town and the City, and began the famous On the Road around 1949 while living there.",The Town and the City,1949.0,Jack Kerouac
309,Twain was critical of imperialism in other countries as well.,,,Mark Twain
879,"In December, Rowling's mother, Anne, died after ten years suffering from multiple sclerosis.",,,J.K. Rowling
1096,"==


",,,J.K. Rowling
1095,== Views,,,J.K. Rowling
918,"Its sequel, Harry Potter and the Chamber of Secrets, was published in July 1998 and again Rowling won the Smarties Prize.",Harry Potter and the Chamber of Secrets,1998.0,J.K. Rowling
745,"In 2007, Kerouac was awarded a posthumous honorary degree from the University of Massachusetts Lowell.
",,,Jack Kerouac
390,"He specifically cited the pain caused to the animal as his basis of his opposition.

",,,Mark Twain
1031,"After many failed attempts, followers finally guessed correctly.",,,J.K. Rowling
1145,"Rowling particularly dislikes the British tabloid the Daily Mail, which has conducted interviews with her estranged ex-husband.",,,J.K. Rowling
436,"I am nearly seventy-one, and I recognize that my age has given me a good many privileges; valuable privileges; privileges which are not granted to younger persons.",,,Mark Twain
311,"He was highly critical of European imperialists, notably Cecil Rhodes, who greatly expanded the British Empire, and Leopold II, King of the Belgians.",,,Mark Twain
1109,"In a blog post, Rowling explained that an open letter from Scottish medical professionals raised problems with First Minister Alex Salmond's plans for a common research funding.",,,J.K. Rowling
244,"The book was started in December 1885, then shelved a few months later until the summer of 1887, and eventually finished in the spring of 1889.

",,,Mark Twain
625,The success of,,,Jack Kerouac
1133,"In 2015, following the referendum on same-sex marriage in Ireland, Rowling joked that if Ireland legalised same-sex marriage, Dumbledore and Gandalf could get married there.",,,J.K. Rowling
165,"Oxford University awarded Twain an honorary doctorate in letters in 1907.
",,,Mark Twain
551,"Carr, encouraged by Burroughs, turned himself in to the police.",,,Jack Kerouac
645,"The CBS Television series Route 66 (1960–1964), featuring two untethered young men ""on the road"" in a Corvette seeking adventure and fueling their travels by apparently plentiful temporary jobs in the various U.S. locales framing the anthology-styled stories, gave the impression of being a commercially sanitized misappropriation of Kerouac's story model for On the Road.",,,Jack Kerouac
629,He was badly beaten by three men outside the San Remo Cafe at 189 Bleecker Street in New York City one night.,,,Jack Kerouac
531,"=== Early adulthood ===

",,,Jack Kerouac
328,"but I never saw a Chinaman righted in a court of justice for wrongs thus done to him"".",,,Mark Twain
786,"It includes 16 previously unpublished works, in French, including a novella, Sur le chemin, La nuit est ma femme, and large sections of Maggie Cassidy originally written in French.",,,Jack Kerouac
606,"Kerouac found enemies on both sides of the political spectrum, the right disdaining his association with drugs and sexual libertinism and the left contemptuous of his anti-communism and Catholicism; characteristically, he watched the 1954 Senate McCarthy hearings smoking marijuana and rooting for the anti-communist crusader, Senator Joseph McCarthy.",,,Jack Kerouac
354,He was critical of organized religion and certain elements of Christianity through his later life.,,,Mark Twain
352,=== Religion =,,,Mark Twain
1020,"Rowling released a statement saying she was disappointed and angry; Russells apologised for the leak, confirming it was not part of a marketing stunt and that ""the disclosure was made in confidence to someone he [Gossage] trusted implicitly"".",,,J.K. Rowling
1164,"Other awards include:
1997: Nestlé Smarties Book Prize, Gold Award for Harry Potter and the Philosopher's Stone
1998: Nestlé Smarties Book Prize, Gold Award for Harry Potter and the Chamber of Secrets
1998: British Children's Book of the Year, winner Harry Potter and the Philosopher's Stone
1999: Nestlé Smarties Book Prize, Gold Award for Harry Potter and the Prisoner of Azkaban
1999:",,,J.K. Rowling
859,"a look that she would still sport it when beginning university.


",,,J.K. Rowling
1196,"== Adults ===
The Casual Vacancy (27 September 2012)


=",,,J.K. Rowling
750,"The movie also describes the people and places on which Kerouac based his characters and settings, including the cabin in Bixby Canyon.",,,Jack Kerouac
1195,"=== Short stories ====
Harry Potter prequel (July 2008)


=",,,J.K. Rowling
494,His reason for that statement seems to be linked to an old family legend that the Kerouacs had descended from Baron François Louis Alexandre Lebris de Kerouac.,,,Jack Kerouac
617,The term Beat Generation was invented by Kerouac during a conversation held with fellow novelist Herbert Huncke.,,,Jack Kerouac
900,"In a 2001 BBC interview, Rowling denied the rumour that she wrote in local cafés to escape from her unheated flat, pointing out that it had heating.",,,J.K. Rowling
824,"In October 2010, Rowling was named the ""Most Influential Woman in Britain"" by leading magazine editors.",,,J.K. Rowling
322,"Twain acknowledged that he had originally sympathized with the more moderate Girondins of the French Revolution and then shifted his sympathies to the more radical Sansculottes, indeed identifying himself as ""a Marat"".",,,Mark Twain
808,"A Guide to Kerouac's Characters
WhatHappenedToKerouac.com",,,Jack Kerouac
37,"While training, Samuel convinced his younger brother Henry to work with him.",,,Mark Twain
116,"Twain went on to Fiji, Australia, New Zealand, Sri Lanka, India, Mauritius, and South Africa.",,,Mark Twain
429,"McMasters' The Mark Twain Encyclopedia states that Twain did not wear a white suit in his last three years, except at one banquet speech.
",,,Mark Twain
125,"Coming back in fall, they continued the treatment in London, until Twain was convinced by lengthy inquiries in America that similar osteopathic expertise was available there.
",,,Mark Twain
636,"He passed up the opportunity to reunite with Snyder in California, and explained to Philip Whalen, ""I'd be ashamed to confront you and Gary now I've become so decadent and drunk and don't give a shit.",,,Jack Kerouac
79,"They include The Adventures of Tom Sawyer (1876), The Prince and the Pauper (1881), Life on the Mississippi (1883), Adventures of Huckleberry Finn (1885), and A Connecticut Yankee in King Arthur's Court (1889).
",,,Mark Twain
1183,==== Related works =,,,J.K. Rowling
332,"With him, gratitude is an unknown emotion; and when one does him a kindness, it is safest to keep the face toward him, lest the reward be an arrow in the back.",,,Mark Twain
1112,"Rowling later explained her position in more detail, saying that although she opposed most of Benjamin Netanyahu's actions she did not think the cultural boycott would bring about the removal of Israel's leader or help improve the situation in Israel and Palestine.
",,,J.K. Rowling
100,"Fewer than 200 copies were sold.
",,,Mark Twain
190,"Researchers rediscovered published material as recently as 1995 and 2015.


",,,Mark Twain
204,The first journey that he took for this job was to ride the steamer Ajax on its maiden voyage to the Sandwich Islands (Hawaii).,,,Mark Twain
301,"During the Boxer rebellion, Mark Twain said that ""the Boxer is a patriot.",,,Mark Twain
570,He completed the first version of the novel during a three-week extended session of spontaneous confessional prose.,,,Jack Kerouac
1200,"Lethal White (as Robert Galbraith) (forthcoming)


=== Other ===


==== Non-fiction ====
McNeil, Gil and Brown, Sarah, editors (2002).",,,J.K. Rowling
888,The couple separated on 17 November 1993.,,,J.K. Rowling
554,Kerouac then agreed to marry Edie Parker if her parents would pay the bail.,,,Jack Kerouac
167,"It is coming again next year, and I expect to go out with it.",,,Mark Twain
926,"Rowling was named Author of the Year in the 2000 British Book Awards.
",,,J.K. Rowling
